n_features,accuracy,f1_score,method
172,0.7663174858984689,0.7450356980961808,Original
50,0.6913779210314263,0.6836278429917445,PCA-50
75,0.8130539887187752,0.8116630601498419,PCA-75
100,0.7292506043513296,0.721100845452333,PCA-100
